YEAR,INTERSECTION_NAME,TOTAL_COLLISIONS,MINOR_INJURIES,MAJOR_INJURIES,FATALITIES,FOLLOWED_TOO_CLOSELY,STRUCK_PARKED_VEHICLE,IMPROPER_LANE_CHANGE,RAN_OFF_ROAD,FAILED_TO_YIELD_RIGHT_OF_WAY(NO_CONTROL),BACKED_UNSAFELY,LEFT_OF_CENTRE,LEFT_TURN_ACROSS_PATH,ANIMAL_ACTION,IMPROPER_TURN,STOP_SIGN_VIOLATION,OTHER,PEDESTRIAN_ERROR/VIOLATION,IMPROPER_PASSING,FAILED_TO_YIELD_TO_PEDESTRIAN,IMPROPER_LOADING,DRIVERLESS_VEHICLE,FAILED_TO_OBSERVE_TRAFFIC_SIGNAL,FAILED_TO_YIELD_TO_CYCLIST,SIGNED_FORCED_TURN_VIOLATION,CYCLST_ERROR/VIOLATION,OVERSIZE_VEHICLE,UNKNOWN,ONE_WAY_VIOLATION,YIELD_SIGN_VIOLATION,INANIMATE_OBJECT_ACTION,OPENED_DOOR_INTO_TRAFFIC,LATITUDE,LONGITUDE,LOCATION
2010,118 AVENUE & 101 STREET NW,33,4,0,0,13,1,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,53.5703560,-113.4942920,"(53.570356, -113.494292)"
2010,97 AVENUE & 105 STREET NW,38,7,0,0,15,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,0,12,0,2,0,0,0,0,0,0,0,53.5339960,-113.5010550,"(53.533996, -113.501055)"
2010,YELLOWHEAD TRAIL & 107 STREET NW,40,6,0,0,30,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,53.5813510,-113.5054010,"(53.581351, -113.505401)"
2010,104 AVENUE & 109 STREET NW,57,12,4,0,25,0,1,0,0,4,0,18,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,53.5462270,-113.5084240,"(53.546227, -113.508424)"
2010,JASPER AVENUE & 109 STREET NW,36,10,0,0,17,0,4,0,0,1,0,8,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,53.5409390,-113.5084390,"(53.540939, -113.508439)"
2010,82 AVENUE & 109 STREET NW,33,4,1,0,16,0,2,0,0,0,0,9,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53.5181010,-113.5120440,"(53.518101, -113.512044)"
2010,111 AVENUE & 109 STREET NW,31,8,2,0,13,0,2,1,0,1,1,6,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,53.5589010,-113.5084140,"(53.558901, -113.508414)"
2010,KINGSWAY AVENUE & 109 STREET NW,30,4,1,0,13,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,53.5608190,-113.5084220,"(53.560819, -113.508422)"
2010,97 AVENUE & 109 STREET NW,28,14,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5341810,-113.5087250,"(53.534181, -113.508725)"
2010,100 AVENUE & 109 STREET NW,26,6,0,0,18,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5388490,-113.5084330,"(53.538849, -113.508433)"
2010,23 AVENUE & 111 STREET NW,48,8,0,0,34,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53.4539140,-113.5163520,"(53.453914, -113.516352)"
2010,51 AVENUE & 111 STREET NW,32,4,0,0,23,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,53.4882050,-113.5167600,"(53.488205, -113.51676)"
2010,9 AVENUE SW & 111 STREET SW,28,10,1,0,12,0,0,1,0,2,1,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,53.4248220,-113.5165460,"(53.424822, -113.516546)"
2010,137 AVENUE & 113A STREET NW,57,15,5,0,43,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.5995100,-113.5167130,"(53.59951, -113.516713)"
2010,UNIVERSITY AVENUE & 114 STREET NW,30,4,2,0,23,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.5165490,-113.5257790,"(53.516549, -113.525779)"
2010,104 AVENUE & 116 STREET NW,27,14,0,0,11,0,2,2,0,1,1,5,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,53.5462220,-113.5212990,"(53.546222, -113.521299)"
2010,YELLOWHEAD TRAIL & 121 STREET NW,30,5,0,1,26,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.5807580,-113.5256950,"(53.580758, -113.525695)"
2010,111 AVENUE & 124 STREET NW,32,5,3,0,12,0,3,0,0,1,1,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53.5588940,-113.5358950,"(53.558894, -113.535895)"
2010,YELLOWHEAD TRAIL & 127 STREET NW,91,17,0,0,65,0,6,0,0,6,2,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,53.5806800,-113.5411960,"(53.58068, -113.541196)"
2010,137 AVENUE & 127 STREET NW,49,7,0,0,37,0,4,0,0,0,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.5994730,-113.5411750,"(53.599473, -113.541175)"
2010,153 AVENUE & 127 STREET NW,39,10,0,0,24,0,3,1,0,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53.6169610,-113.5412230,"(53.616961, -113.541223)"
2010,118 AVENUE & 127 STREET NW,27,7,0,0,6,0,2,1,0,0,0,15,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,53.5703240,-113.5411710,"(53.570324, -113.541171)"
2010,142 AVENUE & 127 STREET NW,27,4,1,0,12,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53.6041610,-113.5413000,"(53.604161, -113.5413)"
2010,129 AVENUE & 127 STREET NW,26,6,0,1,7,0,2,0,0,0,2,10,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5875800,-113.5411960,"(53.58758, -113.541196)"
2010,127 AVENUE & 127 STREET NW,25,5,2,0,13,0,3,0,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,53.5849680,-113.5411780,"(53.584968, -113.541178)"
2010,140 AVENUE & 127 STREET NW,25,7,0,0,11,0,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,53.6021300,-113.5412360,"(53.60213, -113.541236)"
2010,107 AVENUE & 142 STREET NW,88,10,0,0,59,0,12,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,53.5510070,-113.5658400,"(53.551007, -113.56584)"
2010,STONY PLAIN ROAD & 142 STREET NW,43,3,1,0,18,0,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,53.5429240,-113.5657060,"(53.542924, -113.565706)"
